Geo Point,Official Name Suburb
"-37.41854018204751, 146.11867970094616",Enochs Point
"-37.73844296874356, 144.9011870948343",Essendon North
"-38.7274102527466, 146.07367066370207",Fish Creek
"-38.260306500601956, 142.6939615592316",Framlingham
"-38.20057183404688, 142.71216887458888",Framlingham East
"-37.242052807100265, 144.09626205341434",Franklinford
"-37.73156699693695, 143.8584387006115",Garibaldi
"-37.19271404784704, 148.23899943769726",Gelantipy
"-37.4865961917925, 149.69062985977394",Gipsy Point
"-36.23333410219281, 141.83252357259857",Glenlee (Vic.)
"-36.89832254615572, 145.60446282230333",Gooram
"-36.93244020377228, 142.94451369421472",Greens Creek (Vic.)
"-37.994409678751424, 145.36009878119108",Harkaway
"-38.65680985909611, 145.57799047159523",Harmers Haven
"-38.296791942964305, 145.1841676950499",Hastings (Vic.)
"-37.82467531249022, 145.0319821852705",Hawthorn (Vic.)
"-37.65996453115662, 145.55029065645866",Healesville
"-37.38220485645189, 145.04271164813275",Heathcote Junction
"-37.69499016769834, 144.50163480454322",Hopetoun Park
"-36.59048219035025, 144.33944970731298",Huntly North
"-37.08839563908942, 143.9879364305866",Joyces Creek
"-36.77504438587486, 144.36421317866768",Junortoun
"-37.817240753430255, 145.38346587236182",Kalorama
"-35.999741436515464, 145.46542764612147",Katunga
"-37.38229718713475, 144.67441113743013",Kerrie
"-35.89833745790523, 142.71789919090622",Kinnabulla
"-38.447474554558966, 145.66624925475136",Krowera
"-36.37860829157916, 142.82981751761164",Laen North
"-36.12853700515171, 142.42347046672506",Lah
"-37.86334278940198, 148.03621962288048",Lake Bunga
"-36.88556623244484, 144.55837698555243",Lake Eppalock
"-37.60891617861465, 143.1531934044541",Lake Wongan
"-35.55600257465601, 142.60654222562542",Lascelles
"-35.98160530886472, 143.7989007744705",Leaghur
"-36.984832824888684, 142.55407299420648",Ledcourt
"-34.11874261634376, 141.01402359918814",Lindsay Point
"-37.878480109999614, 145.48893982112736",Macclesfield (Vic.)
"-37.63169206749061, 143.8470111358327",Magpie
"-35.81509515716587, 142.85769278680903",Marlbed
"-36.96017329456259, 142.17797995812725",Mockinya
"-37.092867834045016, 142.64479529299788",Mokepilly
"-37.83617744568174, 145.3502164804699",Mount Dandenong
"-36.449070352869576, 142.24480019819154",Murra Warra
"-37.38624232062999, 141.53684602792654",Nareen
"-38.40840231690947, 142.79212544219024",Naringal East
"-38.513746699137194, 145.3248548395172",Newhaven
"-35.799995983706665, 143.7322221150559",Normanville (Vic.)
"-38.193684785301855, 147.41571861461009",Paradise Beach
"-35.4352781931238, 142.18751876247958",Patchewollock
"-35.8086420945386, 143.6648025340463",Pine View
"-37.23398786870049, 142.61855214543567",Pomonal
"-36.98085479109164, 143.55304060503065",Rathscar
"-37.71224593096351, 145.0068855599227",Reservoir (Vic.)
"-37.625735809184405, 144.92532737411236",Roxburgh Park
"-37.75626124083764, 147.7363783259104",Sarsfield
"-38.45324241814347, 145.27345400237243",Silverleaves
"-37.224243088007825, 143.68484845876307",Stony Creek (Central Goldfields - Vic.)
"-38.50497575109161, 145.27630315567984",Sunderland Bay
"-36.32450283787949, 147.2817669308074",Tallangatta South
"-37.0049273090769, 144.01471374766027",Tarrengower
"-36.195062587532796, 143.32404250278273",Teddywaddy
"-37.85570085517115, 145.32104202240646",The Basin (Vic.)
"-36.059638689355715, 147.9127505523542",Tintaldra
"-35.507661393062016, 143.6318152377548",Tresco West
"-37.328638012966266, 144.41334600879517",Tylden
"-38.21073210390959, 141.79374105798112",Tyrendarra
"-35.481706756494034, 143.27936568561714",Ultima
"-37.69140619334985, 148.16605572156297",Wairewa
"-37.48619975359706, 141.49457407413726",Wando Vale
"-36.047128804309416, 142.657843076219",Wilkur
"-37.482795682911416, 143.71776018480963",Windermere (Vic.)
"-37.3623472430752, 144.52627377836777",Woodend (Vic.)
"-36.20497917919231, 143.62982557998498",Wychitella North
"-38.8044791540903, 146.1989787092357",Yanakie
"-38.18694122719468, 146.07452238066017",Yarragon
"-19.526710683339374, 147.47948801983574",Airdmillan
"-27.98083800917343, 152.5349467533636",Aratula (Qld)
"-20.930533192954204, 148.99160746026428",Ball Bay
"-19.247516599684147, 146.79246167973255",Belgian Gardens
"-19.294626514285806, 146.67589094223112",Bohle Plains
"-27.37814926246691, 151.82703100304198",Boodua
"-22.878245876401177, 139.91599081531606",Boulia
"-26.71596654471144, 151.49871606554305",Boyneside
"-19.54349910198968, 147.3536392921577",Brandon
"-24.866773774107145, 152.35111444911942",Bundaberg Central
"-20.274076077154923, 143.047343930343",Burleigh
"-26.184532164546436, 151.84765215220833",Byee
"-19.652953870980767, 146.77837054101775",Calcium
"-28.442860783006754, 141.5669106591151",Cameron Corner
"-23.083377406058634, 148.02270058862382",Capella
"-17.06725748096609, 145.37342226438116",Chewko
"-27.99387735530974, 153.24236436952702",Clagiraba
"-27.49895016290326, 153.06146036327874",Coorparoo
"-16.534288903719705, 145.46267753943383",Craiglie
"-27.515033280125337, 151.92305093295525",Cranley
"-28.06017126306468, 145.71171168702742",Cunnamulla
"-17.47705760047235, 146.00307848659992",Daradgee
"-25.017345972110753, 152.05064522052066",Delan
"-27.014186197044253, 152.7720553215076",Delaneys Creek
"-28.58790479869139, 148.04224056760805",Dirranbandi
"-15.416035717192946, 143.27225801518043",Dixie (Qld)
"-25.47147330192198, 152.34434060627606",Doongul
"-25.295584106141067, 152.77343284552865",Dundowran
"-27.661835811667057, 150.95536236202858",Dunmore (Qld)
"-27.89060445376746, 152.27965246249755",East Haldon
"-27.607706592420218, 152.77639989086805",East Ipswich
"-16.946555801973968, 145.8241011941111",East Trinity
"-28.20413170873355, 152.3423218510087",Emu Vale
"-28.075976468455647, 153.15635371572722",Ferny Glen
"-27.403394579913893, 152.9274193465029",Ferny Grove
"-27.37391115151664, 151.42066417893582",Formartin
"-17.26630096001309, 145.72147445609517",Gadgarra
"-27.541468715011778, 152.18635048196808",Grantham
"-19.352496664419665, 146.68473880758955",Gumlow
"-19.45536493112583, 147.22247942272355",Jerona
"-27.036825343780013, 151.40867770500617",Kaimkillenbun
"-17.440473563987286, 145.37217179966407",Kalunga
"-24.917098812737994, 152.3182806015877",Kensington (Qld)
"-26.54052961738524, 152.3777084842817",Kingaham
"-23.903456690244028, 151.23535535280277",Kirkwood
"-26.058108437303765, 151.86257136225265",Kitoba
"-17.9441896515156, 145.6780446417968",Kooroomool
"-26.606752247625323, 152.89091832645886",Kureelpa
"-27.610515700157695, 152.4048151530015",Laidley North
"-23.06835521810949, 148.86223941837028",Mackenzie River
"-26.593554868308924, 153.07881583885555",Marcoola
"-25.52324586583133, 152.6964952599599",Maryborough (Qld)
"-26.246811562791905, 152.58383253227194",Marys Creek
"-28.047877433212033, 153.43672710587433",Mermaid Beach
"-16.40576770099362, 145.3697937615909",Miallo
"-24.673416422404856, 152.15638881901123",Miara
"-28.015903013116528, 151.04357252753826",Millmerran Woods
"-26.694063057419196, 152.88508838660508",Montville
"-27.920878114944095, 152.45160314261713",Moorang
"-26.5067958920483, 148.46661525394208",Mount Bindango
"-16.516966151312737, 145.10524115474735",Mount Carbine
"-20.746672995158026, 147.2675076224782",Mount Wyatt
"-26.28716962607753, 151.72395273373883",Mp Creek
"-19.95869624522985, 147.04164268553612",Mulgrave (Qld)
"-17.42267499945935, 138.6118260361696",Nicholson (Qld)
"-27.479652605964176, 153.0624610645559",Norman Park
"-28.145166283157586, 153.2346772370127",Numinbah Valley
"-23.72887573966628, 150.31408653094195",Oakey Creek
"-21.180177517532215, 149.1437795237646",Ooralea
"-27.561269655142898, 152.23250697725902",Placid Hills
"-27.578169135816218, 152.41914196892802",Plainland
"-20.411078993848083, 148.56539649776144",Proserpine
"-26.178258545677366, 151.58918858661855",Proston
"-27.703617284153868, 152.71647412737371",Purga
"-27.584859635082978, 151.98643670541065",Rangeville
"-27.112210364572245, 152.84600909351823",Rocksberg
"-19.040490672079923, 146.38081359525816",Rollingstone
"-27.97418071430613, 151.8156710941461",Sandy Camp
"-23.48108914070302, 147.72632967560784",Sapphire Central
"-20.574173481690796, 147.82156375665372",Scottville
"-19.569228272735707, 147.0684579708432",Shirbourne
"-26.208986807265887, 152.64801567118707",Southside
"-27.843781788895942, 150.00301391486647",Southwood
"-27.45934335660244, 153.02459599196092",Spring Hill (Qld)
"-22.836211531841723, 150.753087970492",Stockyard (Livingstone - Qld)
"-26.036803116320492, 151.7052696957192",Stonelands
"-21.335713427508434, 147.89326357606373",Suttor
"-27.991689423287426, 153.06634210555418",Tabragalba
"-18.05610228847337, 143.8825380640812",Talaroo
"-26.134890204134646, 152.65930852834722",Tamaree
"-25.049275309243143, 151.2546059483979",Tellebang
"-19.875235390364228, 140.17997534197391",Three Rivers
"-28.148564029574327, 153.4906287515783",Tugun
"-27.114008459984042, 152.90074948286156",Upper Caboolture
"-26.437848262381134, 152.47879041934362",Upper Kandanga
"-25.15422159009862, 147.31896634153875",Upper Warrego
"-26.115902696968732, 149.23846830588909",Waikola
"-26.13245107305132, 149.90458627655502",Wandoan
"-17.531074545044444, 146.05232493541203",Webb
"-23.67377237485681, 150.16842530997337",Westwood (Qld)
"-27.44375874926303, 152.1114540009434",White Mountain
"-27.694409430068678, 152.84929168009967",White Rock (Ipswich - Qld)
"-28.358439836356688, 146.3145497176372",Widgeegoara
"-28.13512317450523, 152.02538467490157",Willowvale (Qld)
"-27.74578318251624, 153.19340663802427",Windaroo
"-22.38345173080961, 143.0402239840562",Winton (Qld)
"-27.25521644829207, 153.1024953893854",Woody Point
"-26.660772165637056, 152.97661387344021",Woombye
"-17.344328680305214, 145.80587911956667",Wooroonooran (Cairns - Qld)
"-27.513739170868035, 153.01339756067074",Yeronga
"-26.45631678744845, 149.46391018395738",Yuleba North
"-18.86117361567109, 146.1252634880963",Yuruga
"-23.289804197653655, 150.79537286854628",Zilzie
"-34.94610873140397, 138.5308052793678",Adelaide Airport
"-34.876225958816335, 138.52168927780193",Albert Park (SA)
"-38.00314436004386, 140.70495995230468",Allendale East
"-34.756315508302734, 139.2941623658253",Angas Valley
"-33.551759180501314, 138.5769809387744",Broughton River Valley
"-33.84140061004004, 138.61349397375002",Clare (SA)
"-34.9720239466602, 138.58670357703352",Cumberland Park
"-36.46534547404846, 140.92904832385227",Custon
"-34.71912042122794, 138.63503001089958",Edinburgh
"-34.736196841915834, 138.67031670110373",Elizabeth Grove
"-34.84883513523158, 138.4901015932497",Ethelton
"-34.49617531000126, 138.622873150661",Fischer
"-34.8500420873026, 138.65905237483932",Gilles Plains
"-34.86253760290398, 138.64299402049372",Hillcrest (SA)
"-35.47608039070176, 138.59897391953098",Hindmarsh Valley
"-34.85154763595848, 138.6724228942707",Holden Hill
"-34.48670939676205, 137.89345040962974",James Well
"-34.21766265148029, 138.3034854076487",Kallora
"-34.41002222248563, 140.61872913000278",Loxton North
"-35.21017270244446, 138.54680216677798",McLaren Vale
"-27.026316440590293, 132.7053588206727",Mimili
"-35.00502293222235, 138.56233213208625",Mitchell Park (SA)
"-34.30846676416699, 140.34882461278994",Moorook South
"-34.41534219426906, 138.7560734779066",Morn Hill
"-35.15673219869143, 138.49859685524385",Noarlunga Downs
"-34.87526436140956, 139.1561775273739",Palmer (SA)
"-32.66912406527197, 139.22744072336576",Paratoo
"-34.47712661006741, 139.06747740404887",Penrice
"-34.88268136271832, 138.5928475800181",Prospect (SA)
"-32.01779429613607, 134.45838060933528",Pureba
"-32.93217081010796, 135.41738033605665",Pygery
"-33.19426788744414, 137.964264221483",Risdon Park
"-35.099702907792945, 139.30053223831325",Riverglades
"-33.9907377755708, 139.07258703776634",Robertstown
"-35.10890159296185, 139.20201916712045",Rocky Gully (SA)
"-30.563860129429806, 136.90034111732274",Roxby Downs
"-34.7628695674482, 138.68380058034057",Salisbury Heights
"-34.767409246771656, 138.66064065207112",Salisbury Plain
"-35.858925959155506, 137.28008670836613",Seddon (SA)
"-36.14330839220639, 140.84965313025296",Senior
"-34.996446559294675, 138.52025262085024",Somerton Park
"-37.08610017783479, 140.5585342691691",Spence (SA)
"-33.794246429965504, 138.60514037760248",Stanley Flat
"-34.944833008695035, 138.59153058369466",Wayville
"-35.044214698195084, 137.04128559444223",White Hut
"-36.359991823919444, 140.34220748499823",Willalooka
"-34.568182189580824, 140.71508611056345",Woodleigh (SA)
"-34.86740505977541, 138.55225956357884",Woodville Gardens
"-34.866104498650685, 138.54157386638735",Woodville North
"-33.56786328982799, 138.47629619520222",Yacka
"-32.467110001412905, 134.70755370222773",Yantanabie
"-32.32421461566566, 138.5478833009583",Yanyarrie
"-31.526400752477578, 117.97419374988435",Baandee
"-32.00109228210654, 116.10212296929164",Bickley
"-34.97969183528606, 116.97433079254084",Bow Bridge
"-31.538282810324123, 116.62587495238363",Buckland (WA)
"-32.08139943226545, 115.91693084314332",Canning Vale
"-31.979429092881396, 115.91813549067088",Carlisle
"-33.463225685705886, 117.51887021882277",Cartmeticup
"-20.660354596707258, 117.01300169993395",Cleaverville
"-33.373959639064466, 115.68513279656143",Davenport (WA)
"-34.96612330057002, 117.35319061590889",Denmark
"-28.443551178514475, 114.75782671408219",Dindiloa
"-33.312312116467055, 115.71659025456981",Eaton (WA)
"-30.042902055365772, 115.74314323275448",Eganu
"-28.777385405572335, 114.61507666183422",Geraldton
"-22.496870995932525, 126.57791310755802",Gibson Desert North
"-31.841007080295046, 115.83976815351673",Girrawheen
"-31.503037861877274, 116.9393975635856",Greenwoods Valley
"-31.920411344026384, 116.04165799984652",Helena Valley
"-32.17394632664873, 115.97855251990421",Hilbert
"-32.892443287062505, 117.2100606174461",Hillside (WA)
"-31.645725189166235, 116.45844738019264",Hoddys Well
"-27.705106861754732, 114.4213333694584",Kalbarri National Park
"-32.065632558540855, 115.81486572807148",Kardinya
"-31.967563402169663, 115.79798990261143",Karrakatta
"-30.706202184488088, 116.81756669560555",Kondut
"-31.858576556236077, 115.8942674864291",Malaga
"-33.22247340559086, 118.69578532793415",Mallee Hill
"-29.183967741052122, 115.82611329049283",Merkanooka
"-31.859627325364723, 115.86587280185537",Mirrabooka (WA)
"-33.60554214813847, 117.54746063104629",Moojebing
"-31.97983790873492, 115.80571584285796",Nedlands
"-34.75506076415014, 116.6609514080788",North Walpole
"-31.306512028934897, 118.2183403104268",Nukarni
"-33.84709085451174, 121.8126360743692",Pink Lake
"-29.082603436184264, 116.16120755645707",Pintharuka
"-32.654296536255714, 117.12611579495119",Popanyinning
"-35.03328987206202, 117.90651240933833",Port Albany
"-30.763276860322776, 125.38348390891164",Rawlinna
"-34.883879189593685, 117.6913236619604",Redmond
"-31.960452800273732, 115.91586623424313",Rivervale
"-28.84817816144575, 114.66674278755644",Rudds Gully
"-33.746588166536704, 115.42718263863453",Sabina River
"-31.95721211900315, 115.80554893203161",Shenton Park
"-27.263759640506002, 116.50513986166098",South Murchison
"-31.86829374300907, 116.040601132913",Stratton
"-34.96280108312701, 116.88003162119422",Tingledale
"-31.89812025350948, 115.83489743825703",Tuart Hill
"-32.84779693060485, 119.56121258602637",Varley
"-33.69336647880761, 115.26780635109047",Vasse
"-24.99883579621107, 128.28487925513056",Warakurna
"-34.01398273063422, 115.11223513127209",Witchcliffe
"-33.46104497638159, 122.17835004081941",Wittenoom Hills
"-22.933706133196093, 115.04465412738472",Yannarie
"-31.167587920297027, 117.66258253139691",Yelbeni
"-42.869862193132626, 147.47936710740743",Acton Park (Tas.)
"-42.34003984782716, 147.49631634284867",Andover
"-43.16476794778755, 147.29028142297338",Apollo Bay (Tas.)
"-41.0703011904221, 145.96349237237615",Chasm Creek
"-41.12932705457046, 146.78913846589637",Clarence Point
"-42.54180595787308, 147.12537872809963",Dysart (Tas.)
"-43.24951823802666, 146.99534730957117",Glendevie
"-41.28258705530456, 146.96365330826697",Gravelly Beach
"-41.35139842631262, 147.00519960112626",Grindelwald
"-41.9981424000572, 145.5588596618698",Lake Margaret
"-41.212084686184646, 147.10499155380796",Lower Turners Marsh
"-42.632438282126806, 146.82717506859672",Meadowbank (Tas.)
"-41.67352756267398, 146.59173876254485",Meander
"-42.6657805984894, 146.5851233021661",Mount Field
"-40.98890332441528, 145.5610190858833",Myalla (Tas.)
"-41.0443492082642, 145.8593636954891",Ocean Vista
"-42.989673776314994, 147.40736874077982",Opossum Bay
"-43.279764908249525, 147.29330283862572",Simpsons Bay
"-41.4556429595491, 147.14752466006627",South Launceston
"-41.20817836664654, 146.53566967271738",Thirlstane
"-41.45697900960561, 146.63201445359974",Weetah
"-41.15020152435238, 145.99557274260414",West Pine
"-41.58803678181263, 146.91031279114347",Whitemore
"-13.818146592937262, 131.48308227325273",Douglas-Daly
"-13.127239154710892, 131.0031572702358",Eva Valley
"-12.185525456023488, 131.0780813549482",Glyde Point
"-12.449777341711275, 130.90371147694745",Hidden Valley (NT)
"-12.38894919798091, 130.8728088663761",Jingili
"-21.983899421159755, 135.48212228736534",Sandover
"-13.090845160269357, 131.16958577358784",Tortilla Flats
"-12.43476547401884, 130.85180878367137",Woolner
"-35.26225859341045, 149.14786124335194",Ainslie
"-35.324646586053646, 149.07759867452017",Curtin
"-35.186733564398494, 149.13620647475258",Gungahlin
"-33.390016371682414, 149.55660150187595",Abercrombie
"-32.88756557598544, 151.4022677326242",Abernethy
"-28.624098618579968, 152.06639740955828",Amosfield
"-33.657574889168856, 150.9476010898147",Annangrove
"-33.62959767507548, 151.32693753550112",Avalon Beach
"-29.678700780286878, 151.98810791631092",Bald Nob
"-35.61870736448223, 149.64016984023274",Ballalaba
"-34.28404720844662, 150.58707823890023",Bargo
"-34.780530195586856, 150.57866850563033",Beaumont (NSW)
"-36.54822715774079, 148.71071249181747",Beloka
"-34.70681576392966, 147.24652955250176",Berry Jerry
"-32.821065253515485, 151.60771564652106",Black Hill (NSW)
"-36.460005088620385, 148.97706425864345",Bobundara
"-35.92225238722491, 148.84667131826845",Bolaro
"-30.207249845129994, 146.04220529130808",Bourke
"-31.573608431033747, 150.7014673221457",Braefield
"-31.952098393816485, 150.6245859271631",Brawboy
"-29.03504539611372, 153.4261281753933",Broadwater (Richmond Valley - NSW)
"-32.77583082382234, 151.0924983158798",Broke (NSW)
"-34.047410256815034, 150.6528394751528",Brownlow Hill
"-31.919302814695218, 152.01709483957725",Bulliac
"-33.59025639862152, 149.02472668808997",Burnt Yards
"-34.582645806856725, 150.51331773150412",Burrawang
"-33.35543591606034, 149.0031723431075",Canobolas
"-28.254526868421426, 153.53720624451717",Chinderah
"-29.153392169731873, 152.9151108096762",Clearfield
"-33.245010996085675, 149.17830997481144",Clifton Grove
"-30.19689194432981, 150.57306345457638",Cobbadah
"-36.00959850644506, 150.094741581909",Coila
"-33.78277426868839, 150.7966991949016",Colyton
"-34.002964923053774, 151.06444882544827",Como (NSW)
"-35.339602707711876, 148.0896022430151",Cooleys Creek
"-33.876898056711376, 149.22136781069895",Copperhannia
"-33.88031885294406, 151.1154661069611",Croydon (NSW)
"-34.780909139062054, 149.3564100508184",Cullerin
"-29.801454498233177, 152.4591328171937",Dalmorton
"-33.872335707706924, 151.2368551775599",Darling Point
"-32.15118373563823, 150.8209003160437",Dartbrook
"-34.03760836274951, 150.8125194148",Eagle Vale
"-32.923013573665614, 151.61992791161143",Edgeworth
"-30.169507778356472, 151.73377258804788",Falconer
"-33.40677686585672, 151.46693648552588",Forresters Beach
"-32.37490511454764, 148.8539162542125",Geurie
"-29.73450120609965, 150.49844685856195",Gineroi
"-31.235284184951674, 146.86092598457734",Girilambone
"-32.51145035356999, 151.79534929886725",Glen William
"-32.58686368735478, 151.28506996398602",Glendon
"-32.066169922256904, 151.61965410108078",Gloucester Tops
"-34.58499062462526, 146.2819828993599",Gogeldrie
"-33.7555125790332, 151.15356340726126",Gordon (NSW)
"-30.784420597602942, 152.985777182468",Grassy Head
"-34.03704176116225, 151.16216019941956",Greenhills Beach
"-36.56363600238114, 148.46206819624476",Grosses Plain
"-33.93617583516448, 145.29688827021764",Gunbar
"-32.264392461615806, 150.47556177675284",Gungal
"-32.066447068707106, 152.50150510959207",Hallidays Point
"-31.011067300407426, 150.87410943648246",Hallsville
"-31.503500657146798, 151.2481821371621",Hanging Rock
"-32.95584463964932, 151.71732925127625",Highfields (NSW)
"-33.02595883359127, 149.44656609369463",Hill End (NSW)
"-33.999192296520874, 151.0387075386101",Illawong
"-33.94964527586318, 149.65893142813655",Isabella
"-36.72425446328735, 149.88122935540244",Jellat Jellat
"-34.160156059822036, 149.84500039133624",Jerrong
"-36.72998835099778, 149.9307496180258",Kalaru
"-31.643766915200793, 152.73751577057473",Kew (NSW)
"-33.1871694302687, 149.42546789111483",Killongbutta
"-34.44966366188389, 148.33628644505646",Kingsvale
"-32.88068907141963, 151.364677524342",Kitchener
"-34.42543113701208, 146.10259650812733",Kooba
"-30.24958138493117, 153.11666808671797",Korora
"-33.1902880748457, 151.57328702085155",Lake Munmorah
"-31.761273797845814, 152.51465728310728",Lansdowne (Mid-Coast - NSW)
"-33.58564251551308, 150.1976981432717",Little Hartley
"-33.82921619517626, 151.1690616904188",Longueville
"-34.56238752380141, 150.66138774064584",Macquarie Pass
"-34.432771404897636, 150.87272422966237",Mangerton
"-33.29364152306094, 151.40139528373933",Mardi
"-32.53420029664398, 149.54452371744355",Menah
"-37.050899467476206, 149.15982038469735",Mila
"-33.515785656960226, 151.1783318615131",Milsons Passage
"-29.57111643941426, 152.90550705759605",Moleville Creek
"-35.34111348277277, 150.46960164258817",Mollymook
"-32.792121772140355, 149.16628444312576",Mookerawa
"-34.09922498220597, 150.61202985494666",Mount Hunter
"-34.45145380330458, 150.57034891132665",Mount Lindsey
"-33.504104722330936, 150.38811832032644",Mount Wilson
"-34.141540130323314, 142.16172984369433",Mourquong
"-35.02166922783358, 147.92934696279275",Nangus
"-33.376409946129776, 151.3485476049839",Niagara Park
"-33.28527102924408, 151.56124345340749",Norah Head
"-32.80196584191341, 151.36055918646903",Nulkaba
"-33.78774809697275, 150.96993239921306",Old Toongabbie
"-33.1018918099476, 148.27269929715047",Parkes (NSW)
"-34.53355476337593, 149.53654078802046",Pejar
"-32.656764199372944, 152.09418534446303",Pindimar
"-33.74001633553512, 147.94309621773124",Pinnacle (NSW)
"-33.3565236058861, 149.97286097471135",Portland (NSW)
"-33.89270640961444, 151.03245353284083",Potts Hill
"-33.98215959762801, 151.14621580637322",Ramsgate Beach
"-36.12406097659705, 149.2598133189164",Rose Valley (Snowy Monaro Regional - NSW)
"-32.99185194330753, 145.35259642057366",Roto
"-32.14832063721495, 150.9943926352689",Rouchel
"-32.57245849502127, 151.24762142766178",Roughit
"-34.38511818455033, 149.01227088083044",Rugby
"-30.14429452460102, 153.17896148099487",Sandy Beach
"-33.8341644420648, 151.04621113557778",Silverwater (Parramatta - NSW)
"-29.72803983279078, 152.9387688195375",South Grafton
"-32.67057837003128, 149.60561068740247",Spring Flat
"-33.09336203473536, 151.65917776574938",Swansea Heads
"-35.93968855592825, 147.43872023480938",Talmalmo
"-36.67232203638008, 149.86950257454154",Tarraganda
"-34.44814541790034, 147.51269670781082",Temora
"-36.52903703017333, 148.36180802470616",Thredbo
"-33.79034754326366, 150.9485792085505",Toongabbie (NSW)
"-28.52972445963584, 152.76097976093732",Toonumbar
"-31.261263742171977, 149.50561180960185",Ulamambri
"-32.451162894372, 152.32091267577587",Violet Hill
"-32.25258476785443, 152.49010512624042",Wallis Lake
"-33.50459404448083, 149.76003428562248",Wambool
"-35.42339806631156, 145.0296987602234",Wandook
"-28.56658807117397, 153.38162889854632",Wanganui
"-29.56291235685706, 152.97548299159692",Warragai Creek
"-33.953417103365425, 150.93998493216216",Wattle Grove (NSW)
"-36.0113598424495, 147.9647266895661",Welaregang
"-33.4559043420444, 151.1639797424806",Wendoree Park
"-34.61045483675743, 150.36439409741345",Werai
"-33.7765657804913, 150.98079553756241",Winston Hills
"-29.515987993675573, 152.7574185542425",Wombat Creek (NSW)
"-28.7638491656312, 153.31949551221163",Woodlawn
"-29.36725126730417, 153.36676891960772",Woody Head
"-30.958388233141193, 151.3215495767735",Woolbrook
"-33.14582482380486, 151.5076732104308",Wyee Point
"-34.31736516638772, 150.57141225095754",Yanderra
"-36.53837382765234, 145.3733643622503",Arcadia (Vic.)
"-36.59376694029169, 145.38112553984774",Arcadia South
"-35.97215497325687, 142.75039641840237",Ballapur
"-38.39177933014015, 145.12037760406722",Balnarring Beach
"-36.91876608596334, 146.00356633306194",Barjarg
"-36.078904140177734, 146.67334254389732",Barnawartha
"-38.18126861820799, 143.664617972778",Beeac
"-37.926245112812914, 145.34357856302768",Belgrave Heights
"-38.44015380132552, 145.73584730956577",Bena
"-36.88464530297877, 147.80701119621477",Benambra
"-35.340380966247466, 142.75977797947317",Bimbourie
"-37.511968836386146, 144.10954519734744",Bolwarrah
"-37.80482536309041, 147.08708790696974",Briagolong
"-37.38436264725309, 143.90699274140493",Broomfield
"-37.858883901512804, 142.0867952668843",Buckley Swamp
"-36.269445017844234, 143.52091312822432",Buckrabanyule
"-35.82996010912149, 144.33829339894785",Burkes Bridge
"-37.83839806069382, 145.07371522466963",Camberwell (Vic.)
"-37.539677768039915, 143.73914354654718",Cardigan
"-37.947900900979285, 146.33805973414",Caringal
"-38.076764097193305, 145.12795464913296",Carrum
"-35.27373935725583, 143.0434381083506",Chillingollah
"-37.540798059628344, 141.25467891282054",Corndale (Vic.)
"-38.15440857635375, 145.2519180234259",Cranbourne South
"-37.985017861695326, 145.21192033681191",Dandenong
"-37.955883683141174, 145.21425768924823",Dandenong North
"-36.839715164133466, 146.7035245656096",Dandongadale
"-37.34467979990635, 144.15003848802618",Daylesford
"-37.28449133617111, 144.29178832013037",Denver
"-37.81830040036869, 144.94035628899263",Docklands
"-37.73637352825936, 145.59227772406823",Don Valley
"-36.378751146593274, 143.2010252284927",Dooboobetic
"-37.31190260611067, 141.04813295686412",Dorodong
"-36.62110979341148, 141.89523879627484",Duchembegarra
"-37.5940719921376, 143.97220904871654",Dunnstown
"-36.16142668567378, 147.03393452321825",Ebden
"-36.75188315950364, 146.52164134639298",Edi Upper
"-37.61611248771108, 145.63836280330932",Fernshaw
"-36.41137595404838, 143.81055280252826",Fiery Flat
"-37.783916657095496, 144.98436770518853",Fitzroy North
"-37.239015551256216, 143.29467405336936",Glenlogie
"-35.94940946298863, 144.35497679142813",Gunbower
"-34.70168152850358, 142.71377395487949",Happy Valley (Swan Hill - Vic.)
"-38.21290010071946, 141.62530617761573",Heathmere
"-37.012519880918006, 147.6537562139811",Hinnomunjie
"-35.70895702841803, 142.35200638210878",Hopetoun (Vic.)
"-38.41833691248819, 143.18857784944103",Jancourt East
"-37.81448737338663, 147.93940361248295",Kalimna West
"-36.404022393744164, 144.3137576152607",Kamarooka North
"-36.530540314087254, 145.49185153128113",Karramomus
"-38.496831968267344, 143.61280517371293",Kawarren
"-37.47868588954931, 145.25016447213676",Kinglake West
"-34.857850226961865, 143.1195979025822",Kooloonong
"-34.31500819902496, 142.0457829136772",Koorlong
"-37.30051120098956, 144.04408741310033",Kooroocheang
"-38.02987095774042, 145.793318934442",Labertouche
"-36.435754925295115, 142.82775507075746",Laen
"-37.03348935018665, 142.62526935900368",Lake Lonsdale
"-37.66672482137792, 145.0128368587316",Lalor
"-38.05956475439063, 147.56250180883274",Loch Sport
"-36.58488908509153, 142.34198629116256",Longerenong
"-38.21711116738075, 147.09250532248595",Longford (Vic.)
"-36.83824466528666, 145.4559351488433",Longwood East
"-36.30288406126944, 147.6083491046259",Lucyvale
"-38.068547461534216, 145.23075880097625",Lyndhurst (Vic.)
"-37.70023922979333, 145.85016204631668",McMahons Creek
"-35.81084457126659, 144.11499831601267",Mead
"-37.651163156268936, 144.91857130214854",Meadow Heights
"-37.98158738309305, 145.0693990412568",Mentone
