Geo Point,Official Name Suburb
"-33.20668947129847, 149.15382384256097",Summer Hill Creek
"-34.574989806302156, 150.2627692913527",Sutton Forest
"-29.77337341739532, 151.46626729857593",Swan Vale
"-28.673540872905214, 153.5551924857393",Talofa
"-35.714833274107896, 148.6652692321925",Tantangara
"-33.34493543951651, 151.49565890232708",The Entrance
"-32.450032054986345, 149.93314028353421",Tichular
"-37.303558744673566, 149.72093046571652",Timbillica
"-28.705183119743307, 150.6884376763006",Twin Rivers
"-32.391274971900465, 149.38385191679967",Two Mile Flat
"-35.35715792436959, 150.46115752613628",Ulladulla
"-28.27014205788911, 153.30517470702878",Upper Crystal Creek
"-34.693276622594915, 150.5931151464384",Upper Kangaroo River
"-33.13006960284334, 149.7765543005975",Upper Turon
"-30.694420316213943, 148.73061090290145",Urawilkie
"-28.459358958630848, 152.50713269974565",Urbenville
"-35.55995954800353, 149.28883573178032",Urila
"-33.014969598823185, 151.64292554600945",Valentine
"-33.22537827374834, 151.46217023310146",Wallarah
"-36.57930471288057, 149.97331273839504",Wapengo
"-33.85774158299832, 151.1321436087926",Wareemba
"-33.89066479279658, 150.59937603951516",Warragamba
"-33.72196201159651, 150.61342213666353",Warrimoo
"-29.414620581065115, 151.73502883153307",Wellington Vale
"-32.97265658377967, 151.7178823490112",Whitebridge
"-30.84674839790678, 149.85713788581293",Willala
"-33.7563560076501, 150.8806855559351",Woodcroft (NSW)
"-29.488369888318115, 153.31559453526262",Wooloweyah
"-35.85775956715044, 147.27710886505741",Woomargama
"-33.30135045350193, 151.04501659582772",Wrights Creek (NSW)
"-33.36459323857333, 149.67251926027478",Yarras (Bathurst Regional - NSW)
"-37.88093885492225, 144.78443236431673",Altona Meadows
"-35.93068087761662, 143.86424949522643",Appin South
"-37.562286777724786, 143.85020401740073",Ballarat Central
"-37.45541441171086, 144.31118592965439",Barrys Reef
"-38.08716937087697, 144.27454151613776",Batesford
"-37.98218051252433, 145.0388665711282",Beaumaris (Vic.)
"-38.33768185145084, 144.23630325470958",Bellbrae
"-37.697874262305106, 145.28361107344818",Bend Of Islands
"-37.599529483729526, 148.2961411214218",Bete Bolong North
"-37.43625191409227, 143.78069943576938",Blowhard
"-36.41206198275773, 144.72004307448938",Bonn
"-36.098819243530414, 146.24390215581607",Boorhaman North
"-37.0092949830495, 148.05633161348092",Brumby
"-37.766345432176486, 144.96128905576504",Brunswick (Vic.)
"-37.76331194945433, 144.94296001964457",Brunswick West
"-37.36444361826473, 143.16750833234656",Buangor
"-36.67191653050004, 146.6570731629673",Buffalo River
"-38.02803342797596, 147.0175441994358",Bundalaguah
"-36.53074464864962, 144.837406833749",Burramboot
"-37.354241168219055, 144.93872142750476",Bylands
"-37.78158326250614, 147.51007644526544",Calulu
"-38.54273358702344, 145.3440384196386",Cape Woolamai
"-36.462890558969654, 144.89152504638784",Carag Carag
"-36.19942669599864, 146.61614716467588",Chiltern
"-37.9686893162762, 144.621556401991",Cocoroc
"-37.80207169030892, 144.98812752420278",Collingwood (Vic.)
"-38.28244630527335, 143.48890462776643",Corunnun
"-35.708462826266455, 143.12098340087735",Culgoa
"-37.42252955384283, 144.8697628750377",Darraweit Guim
"-37.97389681422191, 146.68726476718035",Dawson (Vic.)
"-38.252402921744554, 145.9337484420495",Ellinbank
"-37.88582680732716, 145.0070094521705",Elsternwick
"-37.69789628515518, 145.14180241354134",Eltham North
"-37.63892454773534, 145.00907690491022",Epping (Vic.)
"-36.7025173337702, 144.30863584856755",Epsom (Vic.)
"-36.76863428399425, 145.56185258673588",Euroa
"-38.30727408250464, 145.9405083755642",Ferndale (Vic.)
"-38.10035701927678, 145.66980381083658",Garfield
"-38.45104258980041, 145.5261986773101",Glen Forbes
"-37.88158434821744, 145.16822180318732",Glen Waverley
"-37.030536987331615, 144.09935710758182",Gower
"-35.960126446073225, 143.61658153289503",Gredgwin
"-37.99835541664855, 141.39866878322644",Greenwald
"-37.61583040273791, 143.63480024768072",Hillcrest (Vic.)
"-37.50193375546463, 145.18557515078578",Humevale
"-38.40543149432097, 145.72433059280038",Jeetho
"-38.135234005151894, 145.29049283221184",Junction Village
"-35.855831296396666, 144.24619735763162",Keely
"-35.779836956907666, 144.01403297909522",Kerang East
"-37.18119612863733, 145.43186784048424",Killingworth (Vic.)
"-38.27363402657322, 142.37271510335",Koroit
"-37.442642998597734, 144.1387254984058",Korweinguboora
"-36.19158519325519, 144.5247114230494",Kotta
"-36.23180751888828, 144.88102672041038",Koyuga
"-36.537885149205856, 143.80559588623018",Kurting
"-37.15005229827962, 144.50116295896748",Langley
"-37.602758352263365, 146.592814071165",Licola
"-37.95248932320949, 145.26704127737207",Lysterfield South
"-37.42850941314063, 144.55585381382346",Macedon
"-37.205625968684146, 146.14673572059323",Macs Cove
"-38.400295896883755, 144.9666130387005",Main Ridge
"-37.69236598858869, 148.79951140677696",Manorina
"-36.71155383819474, 142.779432259401",Marnoo West
"-36.97801197442732, 145.70962361191076",Merton
"-36.98664076045562, 143.30319785453085",Moonambel
"-36.734116123272756, 146.05627548734356",Moorngag
"-36.07792260945732, 142.90476467812792",Morton Plains
"-37.787687872126185, 144.6247228637375",Mount Cottrell
"-38.38081771494317, 145.97283748400253",Mount Eccles
"-36.91415672454031, 143.65834349690758",Mount Hooghly
"-35.53649964924221, 142.75566449730033",Myall (Buloke - Vic.)
"-36.7029314216711, 141.04620098763525",Neuarpurr
"-37.926395856055095, 147.687869622104",Newlands Arm
"-37.75232039185068, 148.45139369016738",Newmerella
"-37.59162375211775, 144.84012567887834",Oaklands Junction
"-37.99787469393181, 147.6876175117064",Ocean Grange
"-36.32056007020796, 146.90915540144027",Osbornes Flat
"-37.78666746655697, 144.95122655318676",Parkville (Vic.)
"-37.28824240967997, 141.6823582130303",Pigeon Ponds
"-36.209369043000095, 144.40043278319973",Pine Grove (Vic.)
"-38.26729560412501, 144.6429236157513",Queenscliff (Vic.)
"-36.44497500680612, 142.9077600026564",Rich Avon
"-36.50478406321158, 142.81485492134348",Rich Avon West
"-38.66099893190136, 146.7351992005589",Robertsons Beach
"-38.00425090126537, 144.18170961142548",Russells Bridge
"-38.13954604867074, 145.46265263440387",Rythdale
"-36.42486931120817, 143.98280466274716",Serpentine (Vic.)
"-37.88853635731981, 145.3594053322069",Sherbrooke
"-37.85804001289622, 144.971296353354",St Kilda West
"-37.73971840507592, 141.71892781858568",Tahara
"-36.231326793435386, 145.44006219769022",Tallygaroopna
"-36.392019100906246, 146.1676609051478",Taminick
"-36.52631884914112, 145.5784263586861",Tamleugh North
"-38.10321195110619, 146.26783169869523",Tanjil South
"-36.38296972291777, 146.47548627080826",Tarrawingee
"-36.684623762465314, 147.199880723682",Tawonga
"-37.2078915356208, 145.88016706104187",Taylor Bay
"-37.89187763670889, 145.40219854917353",The Patch
"-38.48917902357842, 142.9759847775949",Timboon
"-37.924766812125185, 146.8308546668596",Tinamba West
"-36.72084053618081, 144.67412964898486",Toolleen
"-37.61644056052311, 147.05344418465614",Toolome
"-38.31532312089996, 142.23777943299308",Toolong
"-37.780643544005216, 144.9353814038623",Travancore
"-35.2123365037734, 143.39854010188932",Vinifera
"-38.14184116994581, 146.22127168960114",Westbury (Vic.)
"-36.650339336615914, 144.26871026748492",Whipstick
"-38.177096906212945, 144.39206008447619",Whittington
"-37.01821831529867, 141.5858871819696",Wombelano
"-36.88549673976173, 142.19015742508603",Wonwondah
"-36.7649244466174, 144.00461965364747",Woodstock On Loddon
"-36.28941153001977, 146.74278790494085",Wooragee
"-36.26686639730576, 143.61752403060197",Wychitella
"-36.24001941374355, 145.09075756691914",Wyuna East
"-36.14715927654543, 145.7719881642828",Youarang
"-24.303339548414222, 149.76715536557464",Alberta
"-27.91383064339448, 152.91512584712453",Allenview
"-24.872744089472096, 152.39615316145978",Ashfield (Qld)
"-19.03986418153409, 146.41092076576405",Balgal Beach
"-16.63905862347772, 144.26338411890583",Bellevue (Qld)
"-28.051362674991623, 152.0659363067737",Berat
"-25.057341258994263, 151.68474559419997",Boolboonda
"-23.934745311914515, 151.32359720390147",Boyne Island
"-24.23146291819292, 151.29057139885853",Boynedale
"-26.53743370003965, 152.94201510263727",Bridges
"-27.390347243821335, 153.1121714891094",Brisbane Airport
"-24.872341445256616, 152.33788497772053",Bundaberg West
"-25.004858475144623, 150.3721454383105",Camboon (Qld)
"-18.275313088296492, 146.0075770593235",Cardwell
"-27.34624411471865, 153.01592827803617",Carseldine
"-26.452462758646323, 152.77195352420844",Carters Ridge
"-26.21044900421683, 152.7887577498119",Cedar Pocket
"-22.71759681606241, 149.30864446350205",Clarke Creek
"-19.116986697576355, 146.43574511021438",Clemant
"-27.971755804736496, 151.2279912488288",Clontarf (Toowoomba - Qld)
"-17.500709422204533, 146.06430184723945",Coconuts
